iter	RMSE
226	1.760042253
227	1.756474304
228	1.753764556
229	1.752231318
230	1.747397444
231	1.744940114
232	1.743350719
233	1.738677919
234	1.733783529
235	1.730458425
236	1.729079966
237	1.725625666
238	1.721605216
239	1.717979042
240	1.715012772
241	1.712394041
242	1.710261977
243	1.708025138
244	1.70556063
245	1.702436696
246	1.70243347
247	1.699091807
248	1.695973995
249	1.693166448
250	1.690018802
251	1.689923743
252	1.689655155
253	1.686447446
254	1.679963323
255	1.677899656
256	1.677658479
257	1.675084254
258	1.672497585
259	1.668926843
260	1.666935669
261	1.664199699
262	1.660638693
263	1.658551292
264	1.655697543
265	1.652264692
266	1.649312479
267	1.646250106
268	1.643511436
269	1.641679021
270	1.63765361
271	1.637536847
272	1.634902521
273	1.629856786
274	1.629466724
275	1.627796768
276	1.624756154
277	1.621434967
278	1.620090046
279	1.619099136
280	1.617440124
281	1.617056232
282	1.614546212
283	1.612905219
284	1.610381928
285	1.609841901
286	1.608291627
287	1.607739436
288	1.605200746
289	1.602870752
290	1.598888334
291	1.595972118
292	1.592701883
293	1.589664736
294	1.586622974
295	1.582543958
296	1.580424442
297	1.580057987
298	1.5779053
299	1.575274371
300	1.574934058
301	1.571249428
302	1.568091675
303	1.564726809
304	1.564557539
305	1.560710779
306	1.558071703
307	1.555988847
308	1.553505875
309	1.549318479
310	1.547427199
311	1.547354625
312	1.544970497
313	1.542848976
314	1.54129932
315	1.541295834
316	1.541238557
317	1.53878192
318	1.536550121
319	1.536214673
320	1.534928399
321	1.530599373
322	1.528393777
323	1.528390783
324	1.527400604
325	1.525797739
326	1.52355492
327	1.523221795
328	1.520328516
329	1.518309887
330	1.517392084
331	1.516233894
332	1.513930701
333	1.513868792
334	1.509966755
335	1.509792156
336	1.508835789
337	1.506547055
338	1.504540021
339	1.504205715
340	1.499700746
341	1.496758799
342	1.496354674
343	1.494136356
344	1.490365446
345	1.489846688
346	1.486970096
347	1.483800065
348	1.482954182
349	1.482004381
350	1.477941048
351	1.476973944
352	1.473939464
353	1.470660266
354	1.46708603
355	1.467069117
356	1.464101403
357	1.462285331
358	1.45948354
359	1.458327501
360	1.455673736
361	1.454714611
362	1.451927018
363	1.449734787
364	1.449393546
365	1.447932541
366	1.445785543
367	1.442965475
368	1.442956608
369	1.440196526
370	1.438289736
371	1.437931191
372	1.435022618
373	1.433537589
374	1.430969808
375	1.42828855
376	1.427101153
377	1.422543983
378	1.418958113
379	1.418221793
380	1.418158563
381	1.416630037
382	1.41473099
383	1.414233793
384	1.414230444
385	1.413043633
386	1.409085005
387	1.409061756
388	1.407039569
389	1.405367652
390	1.402995819
391	1.4023255
392	1.400763758
393	1.399354165
394	1.396443269
395	1.392655582
396	1.392336464
397	1.390250521
398	1.387120775
399	1.384727251
400	1.38231642
401	1.382141667
402	1.381017859
403	1.378576975
404	1.376701183
405	1.376379861
406	1.375267463
407	1.373761958
408	1.369393985
409	1.369293445
410	1.366517726
411	1.365046263
412	1.365041951
413	1.362486234
414	1.359846326
415	1.359364533
416	1.357906519
417	1.35540585
418	1.354575449
419	1.353933184
420	1.351584275
421	1.35086696
422	1.348210344
423	1.34784433
424	1.3475456
425	1.347286804
426	1.343521874
427	1.343470008
428	1.341954212
429	1.34069731
430	1.338792671
431	1.338773975
432	1.338635642
433	1.334733429
434	1.334715956
435	1.332956784
436	1.331090065
437	1.327442847
438	1.327421424
439	1.327417061
440	1.325839093
441	1.323523868
442	1.32239732
443	1.322260579
444	1.319650337
445	1.317734995
446	1.315820199
447	1.315758065
448	1.313300652
449	1.310036439
450	1.30903756
451	1.307633286
452	1.30760433
453	1.304496058
454	1.302923557
455	1.302910861
456	1.301818387
457	1.301814656
458	1.300790999
459	1.299617913
460	1.299570583
461	1.299337504
462	1.296797182
463	1.296588307
464	1.295075764
465	1.293600959
466	1.293379159
467	1.293306116
468	1.291046491
469	1.291039893
470	1.287829499
471	1.285053501
472	1.285037405
473	1.283882427
474	1.281865154
475	1.281200951
476	1.281107804
477	1.279381163
478	1.278484049
479	1.276367903
480	1.274478072
481	1.272446732
482	1.27001769
483	1.267995874
484	1.267971262
485	1.266199836
486	1.263503958
487	1.262384802
488	1.261725779
489	1.260201594
490	1.259567186
491	1.257610239
492	1.256685375
493	1.256200714
494	1.254779981
495	1.253673892
496	1.253041455
497	1.250964385
498	1.249303258
499	1.249288215
500	1.249284594
501	1.249056599
502	1.247172038
503	1.245809955
504	1.244541733
505	1.244497235
506	1.24449304
507	1.243392826
508	1.243335572
509	1.243123539
510	1.243075563
511	1.2423909
512	1.242307061
513	1.241176261
514	1.239015568
515	1.239005594
516	1.237484549
517	1.237462103
518	1.235426678
519	1.235415322
520	1.235411424
521	1.234661204
522	1.232432148
523	1.230374203
524	1.229263713
525	1.22924058
526	1.229223229
527	1.227715556
528	1.22771325
529	1.227228523
530	1.227207252
531	1.224309874
532	1.223986125
533	1.220483153
534	1.220454594
535	1.219178791
536	1.219143621
537	1.21904901
538	1.217752433
539	1.217729916
540	1.217689014
541	1.215107165
542	1.214172142
543	1.212882339
544	1.212879525
545	1.212229781
546	1.21127704
547	1.209559665
548	1.209556644
549	1.209532088
550	1.208068701
551	1.207854277
552	1.206240756
553	1.20435626
554	1.204340018
555	1.202504969
556	1.202481951
557	1.201454642
558	1.201430742
559	1.201405661
560	1.20140185
561	1.199455818
562	1.199452708
563	1.198033451
564	1.196641579
565	1.195145578
566	1.195046842
567	1.193301705
568	1.193281367
569	1.191741429
570	1.190119577
571	1.189862015
572	1.189846239
573	1.189406131
574	1.187515393
575	1.187046603
576	1.184480803
577	1.182258592
578	1.182244851
579	1.182229911
580	1.181694879
581	1.180038328
582	1.17864857
583	1.17760945
584	1.176164924
585	1.174665085
586	1.172396534
587	1.171370075
588	1.171366545
589	1.171342792
590	1.170409369
591	1.168973328
592	1.167956184
593	1.167854872
594	1.16785262
595	1.167098164
596	1.167095158
597	1.164355413
598	1.16435238
599	1.164325464
600	1.164114826
601	1.164094168
602	1.164088915
603	1.161771681
604	1.161730159
605	1.161727779
606	1.160568262
607	1.160322092
608	1.160122391
609	1.158931564
610	1.156668657
611	1.155927649
612	1.155840738
613	1.155802417
614	1.155781971
615	1.155742877
616	1.155110508
617	1.154402165
618	1.153714041
619	1.15365013
620	1.153646894
621	1.153642876
622	1.153619551
623	1.152183482
624	1.152166273
625	1.152151086
626	1.150711322
627	1.149868305
628	1.148326089
629	1.1481419
630	1.14665492
631	1.146386534
632	1.146366583
633	1.146363337
634	1.146361657
635	1.146339721
636	1.146083864
637	1.146080496
638	1.146077185
639	1.145266385
640	1.14369211
641	1.142312643
642	1.142125951
643	1.142105254
644	1.142050998
645	1.14191354
646	1.14189083
647	1.141857409
648	1.141836236
649	1.140915231
650	1.140692882
651	1.140072598
652	1.138132656
653	1.138111973
654	1.137870668
655	1.136846394
656	1.135906674
657	1.135720088
658	1.135696357
659	1.135675512
660	1.13390536
661	1.132286517
662	1.132265739
663	1.132243515
664	1.132224149
665	1.132080757
666	1.130584035
667	1.12902911
668	1.128093167
669	1.127209616
670	1.127156212
671	1.127135056
672	1.125703093
673	1.125681106
674	1.125660388
675	1.125639113
676	1.125619525
677	1.12477119
678	1.124756458
679	1.124735951
680	1.12288311
681	1.122861744
682	1.121916456
683	1.121401994
684	1.121379575
685	1.119916668
686	1.118506058
687	1.11833583
688	1.11644024
689	1.116208491
690	1.115082759
691	1.115063992
692	1.11486362
693	1.112748458
694	1.112067578
695	1.110713079
696	1.110697803
697	1.110679464
698	1.10983689
699	1.109802132
700	1.109788365
701	1.109309202
702	1.109305737
703	1.107700656
704	1.105646436
705	1.105626621
706	1.105590009
707	1.105570307
708	1.105550498
709	1.104716557
710	1.10469502
711	1.104501767
712	1.104453707
713	1.103906956
714	1.102825546
715	1.101655553
716	1.101613489
717	1.099755425
718	1.099684586
719	1.099636734
720	1.098037483
721	1.096959052
722	1.096144049
723	1.09614198
724	1.09523003
725	1.094890287
726	1.093482748
727	1.093478691
728	1.091635954
729	1.091633522
730	1.091240147
731	1.09121078
732	1.090126187
733	1.088630554
734	1.088611088
735	1.088581418
736	1.088028324
737	1.087835148
738	1.085856331
739	1.085060065
740	1.084415164
741	1.083081441
742	1.083078069
743	1.082569818
744	1.082519197
745	1.081544499
746	1.081523381
747	1.081496968
748	1.080471847
749	1.07789126
750	1.077874859
751	1.077872949
752	1.077853304
753	1.077826613
754	1.076680516
755	1.076655035
756	1.076617851
757	1.076152824
758	1.075268378
759	1.074759412
760	1.072926854
761	1.072887822
762	1.071220456
763	1.069997791
764	1.068304699
765	1.066656254
766	1.065684255
767	1.06374252
768	1.06138167
769	1.059616854
770	1.059595946
771	1.057726287
772	1.057466479
773	1.057433523
774	1.055790296
775	1.054866336
776	1.054861469
777	1.053755971
778	1.053704845
779	1.053684453
780	1.052456842
781	1.05241108
782	1.052389635
783	1.051071675
784	1.051048104
785	1.050150632
786	1.050130196
787	1.04904338
788	1.047725932
789	1.047711011
790	1.047673273
791	1.045809969
792	1.043882612
793	1.043436415
794	1.043403916
795	1.042376074
796	1.042303459
797	1.040864162
798	1.040104505
799	1.039961758
